source_id,url,source_type,scheme_name,description,last_accessed
factsheet_largecap_mar2024,https://www.icicipruamc.com/downloads/factsheet/large-cap-fund-mar2024.pdf,factsheet,ICICI Prudential Large Cap Fund Direct Growth,Monthly factsheet with portfolio and performance,2024-04-15
kim_largecap,https://www.icicipruamc.com/downloads/kim/large-cap-fund.pdf,kim,ICICI Prudential Large Cap Fund Direct Growth,Key Information Memorandum,2024-04-15
sid_largecap,https://www.icicipruamc.com/downloads/sid/large-cap-fund.pdf,sid,ICICI Prudential Large Cap Fund Direct Growth,Scheme Information Document,2024-04-15
factsheet_multiasset_mar2024,https://www.icicipruamc.com/downloads/factsheet/multi-asset-fund-mar2024.pdf,factsheet,ICICI Prudential Multi Asset Fund Direct Growth,Monthly factsheet with portfolio and performance,2024-04-15
kim_multiasset,https://www.icicipruamc.com/downloads/kim/multi-asset-fund.pdf,kim,ICICI Prudential Multi Asset Fund Direct Growth,Key Information Memorandum,2024-04-15
sid_multiasset,https://www.icicipruamc.com/downloads/sid/multi-asset-fund.pdf,sid,ICICI Prudential Multi Asset Fund Direct Growth,Scheme Information Document,2024-04-15
factsheet_nifty_next50_mar2024,https://www.icicipruamc.com/downloads/factsheet/nifty-next-50-index-fund-mar2024.pdf,factsheet,ICICI Prudential Nifty Next 50 Index Direct Growth,Monthly factsheet with portfolio and performance,2024-04-15
kim_nifty_next50,https://www.icicipruamc.com/downloads/kim/nifty-next-50-index-fund.pdf,kim,ICICI Prudential Nifty Next 50 Index Direct Growth,Key Information Memorandum,2024-04-15
sid_nifty_next50,https://www.icicipruamc.com/downloads/sid/nifty-next-50-index-fund.pdf,sid,ICICI Prudential Nifty Next 50 Index Direct Growth,Scheme Information Document,2024-04-15
factsheet_top100_mar2024,https://www.icicipruamc.com/downloads/factsheet/top-100-fund-mar2024.pdf,factsheet,ICICI Prudential Top 100 Fund Direct Growth,Monthly factsheet with portfolio and performance,2024-04-15
kim_top100,https://www.icicipruamc.com/downloads/kim/top-100-fund.pdf,kim,ICICI Prudential Top 100 Fund Direct Growth,Key Information Memorandum,2024-04-15
sid_top100,https://www.icicipruamc.com/downloads/sid/top-100-fund.pdf,sid,ICICI Prudential Top 100 Fund Direct Growth,Scheme Information Document,2024-04-15
groww_largecap,https://groww.in/mutual-funds/icici-prudential-large-cap-fund-direct-growth,web,ICICI Prudential Large Cap Fund Direct Growth,Groww platform page with scheme details,2024-04-19
groww_multiasset,https://groww.in/mutual-funds/icici-prudential-dynamic-plan-direct-growth,web,ICICI Prudential Multi Asset Fund Direct Growth,Groww platform page with scheme details,2024-04-19
groww_nifty_next50,https://groww.in/mutual-funds/icici-prudential-nifty-next-50-index-fund-direct-growth,web,ICICI Prudential Nifty Next 50 Index Direct Growth,Groww platform page with scheme details,2024-04-19
groww_top100,https://groww.in/mutual-funds/icici-prudential-top-100-fund-direct-growth,web,ICICI Prudential Top 100 Fund Direct Growth,Groww platform page with scheme details,2024-04-19
investor_services,https://www.icicipruamc.com/investor-services,web,ICICI Prudential AMC,Investor services and support information,2024-04-15
sebi_investor,https://investor.sebi.gov.in,web,SEBI,SEBI investor education and resources,2024-04-15
amfi_investor,https://www.amfiindia.com/investor-education,web,AMFI,AMFI investor education resources,2024-04-15
